"created_at","id_str","full_text","quote_count","reply_count","retweet_count","favorite_count","lang","user_id_str","conversation_id_str","username","tweet_url","image_url","location"
"Thu Dec 07 07:06:21 +0000 2023","1732657782867026143","🎶Rek ayo rek  mlaku-mlaku nang Gacoan🎶  Ojok lali mene nang Grand Opening Mie Gacoan Surabaya Merr 2 🗓️ Jum'at  8 Desember 2023 🕘 09.00 - 22.00 WIB 🏡 Jl. Dr. Ir. H. Soekarno no.125 Mulyorejo ✅ Dine-in  take away  GrabFood  ShopeeFood dan GoFood  #GacoanSurabaya😉 https://t.co/g0aZX6iMWj","0","0","0","0","in","1363755506678992899","1732657782867026143","mie_gacoan","https://twitter.com/mie_gacoan/status/1732657782867026143","https://pbs.twimg.com/media/GAuhsLwbEAAwGnR.jpg",""
"Thu Dec 07 01:08:44 +0000 2023","1732567787917508802","@syocake Mimin tunggu loh 😄","0","0","0","0","in","1363755506678992899","1732567663954874805","mie_gacoan","https://twitter.com/mie_gacoan/status/1732567787917508802","",""
"Fri Dec 08 13:35:56 +0000 2023","1733118213142335651","@ssourgrapee @iefyyyya Ada kok kak 😊","0","0","0","1","in","1363755506678992899","1719375462923952307","mie_gacoan","https://twitter.com/mie_gacoan/status/1733118213142335651","",""
"Sun Dec 03 00:59:30 +0000 2023","1731115909392244877","@nnnkhrs Wah pingin banget loh.  Mimin sampein ke pusat ya sarannya. Terima kasih kak 😊","0","1","0","0","in","1363755506678992899","1730934782501265791","mie_gacoan","https://twitter.com/mie_gacoan/status/1731115909392244877","",""
"Fri Dec 08 13:32:14 +0000 2023","1733117281549664433","@xxwibushit Besok ya kak 😊  https://t.co/5WKGLEjDTZ","0","0","0","0","in","1363755506678992899","1445306233032876035","mie_gacoan","https://twitter.com/mie_gacoan/status/1733117281549664433","",""
"Sun Dec 03 00:57:22 +0000 2023","1731115376010993981","@taelalat98 Hai kak  tungguin informasi dari mimin ya 😊","0","0","0","0","in","1363755506678992899","1730535847093817675","mie_gacoan","https://twitter.com/mie_gacoan/status/1731115376010993981","",""
"Sat Dec 09 00:51:51 +0000 2023","1733288314093158517","@yaudayaiya Kesenengan mimin juga kalau ini 😅","0","0","0","0","in","1363755506678992899","1733119335361847398","mie_gacoan","https://twitter.com/mie_gacoan/status/1733288314093158517","",""
"Fri Dec 08 13:37:43 +0000 2023","1733118661031018553","@estehoolong @hannuul Kan pingin deket sama kakaknya 🥹","0","0","0","0","in","1363755506678992899","1721449593601474914","mie_gacoan","https://twitter.com/mie_gacoan/status/1733118661031018553","",""
"Sun Dec 03 00:59:45 +0000 2023","1731115975037317265","@sunrichoon @412gongju Mimin catet dulu yaa 😉","0","0","0","0","in","1363755506678992899","1730988251425693821","mie_gacoan","https://twitter.com/mie_gacoan/status/1731115975037317265","",""
"Sat Dec 09 00:54:00 +0000 2023","1733288852612354382","@jkjeonna Hari ini ya kak 😊","0","0","0","0","in","1363755506678992899","1730517708217926017","mie_gacoan","https://twitter.com/mie_gacoan/status/1733288852612354382","",""
"Thu Dec 07 13:40:21 +0000 2023","1732756938910543946","@kaizenuine Lanjutkan yang ketiga 👊","0","0","0","0","in","1363755506678992899","1732753176812740609","mie_gacoan","https://twitter.com/mie_gacoan/status/1732756938910543946","",""
"Sun Dec 10 03:23:39 +0000 2023","1733688902756729168","@310Lim160 Hai kak  mohon maaf ketidaknyamanannya. Untuk komplain kakak bisa menghubungi nomor cs Mie Gacoan yang ada di link bio untuk memudahkan kami dalam proses follow up ke resto cabang yang terkait. Atau juga bisa mengisi QR Code pada bill 🙏","0","0","0","1","in","1363755506678992899","1733545730709852184","mie_gacoan","https://twitter.com/mie_gacoan/status/1733688902756729168","",""
"Sat Dec 09 00:55:16 +0000 2023","1733289173673787899","@mrkilee_ Wait wait  mimin catet dulu ya 😉","0","0","0","1","in","1363755506678992899","1733119335361847398","mie_gacoan","https://twitter.com/mie_gacoan/status/1733289173673787899","",""
"Thu Dec 07 13:00:43 +0000 2023","1732746961273622794","@iyaadaapasi Hai kak  mohon maaf ketidaknyamanannya. Untuk komplain kakak bisa menghubungi nomor cs Mie Gacoan yang ada di link bio untuk memudahkan kami dalam proses follow up ke resto cabang yang terkait. Atau juga bisa mengisi QR Code pada bill 🙏","0","1","0","0","in","1363755506678992899","1732598276418162945","mie_gacoan","https://twitter.com/mie_gacoan/status/1732746961273622794","",""
"Sat Dec 09 00:54:31 +0000 2023","1733288984540029229","@cklngfufu Sama dong 🤩🤩🤩","0","0","0","0","in","1363755506678992899","1733119335361847398","mie_gacoan","https://twitter.com/mie_gacoan/status/1733288984540029229","",""
"Fri Dec 08 13:32:30 +0000 2023","1733117351279903015","@iiyayayaya Ada dong besok 😊","0","1","0","0","in","1363755506678992899","1479794721115435008","mie_gacoan","https://twitter.com/mie_gacoan/status/1733117351279903015","",""
"Thu Dec 07 07:31:35 +0000 2023","1732664134251225550","@Vrijeman_GJK Hai kak  mohon maaf ketidaknyamanannya. Untuk komplain kakak bisa menghubungi nomor cs Mie Gacoan yang ada di link bio untuk memudahkan kami dalam proses follow up ke resto cabang yang terkait. Atau juga bisa mengisi QR Code pada bill 🙏","0","0","0","0","in","1363755506678992899","1732629605998313828","mie_gacoan","https://twitter.com/mie_gacoan/status/1732664134251225550","",""
"Thu Dec 07 13:39:07 +0000 2023","1732756626669789334","@blankyybby Pastinya dong","0","0","0","0","in","1363755506678992899","1732755414624956740","mie_gacoan","https://twitter.com/mie_gacoan/status/1732756626669789334","",""
"Sun Dec 03 00:57:50 +0000 2023","1731115492000321779","@laouisprem Wah terima kasih udah order Mie Gacoan kak  Mimin tunggu kedatangannya lagi ya 😊","0","1","0","1","in","1363755506678992899","1730520560533487718","mie_gacoan","https://twitter.com/mie_gacoan/status/1731115492000321779","",""
